district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,block_cd_2
2735,Sangli,Pune,29,273509,Walwa,273509
2715,Nanded,Aurangabad,20,271505,Kandhar,271505
2702,Dhule,Nashik,9,270202,Sakri,270202
2716,Hingoli,Aurangabad,12,271603,Basmath,271603
2707,Amravati,Amravati,3,270705,Chandur Bz,270705
2709,Nagpur,Nagpur,19,270907,Mouda,270907
2732,Ratnagiri,Konkan,28,273202,Dapoli,273202
2703,Jalgaon,Nashik,13,270305,Chalisgaon,270305
2735,Sangli,Pune,29,273511,Kadegaon,273511
2703,Jalgaon,Nashik,13,270314,Rawer,270314
2733,Sindhudurg,Konkan,31,273306,Sawantwadi,273306
2713,Chandrapur,Nagpur,8,271304,Ballarpur,271304
2719,Aurangabad,Aurangabad,4,271908,Vaijapur,271908
2702,Dhule,Nashik,9,270204,Shirpur,270204
2726,Ahmednagar,Nashik,1,272602,Jamkhed,272602
2733,Sindhudurg,Konkan,31,273308,Vengurle,273308
2707,Amravati,Amravati,3,270711,Morshi,270711
2720,Nashik,Nashik,22,272013,Surgana,272013
2720,Nashik,Nashik,22,272016,Nashik Urc-1,272016
2712,Gadchiroli,Nagpur,10,271211,Bhamragad,271211
2728,Latur,Aurangabad,16,272809,Ahamadpur,272809
2719,Aurangabad,Aurangabad,4,271904,Khultabad,271904
2717,Parbhani,Aurangabad,25,271710,Parbhani Urc,271705
2721,Thane,Konkan,33,272115,Ambernath,272115
2702,Dhule,Nashik,9,270201,Dhule,270201
2708,Wardha,Amravati,34,270804,Hinganghat,270804
2709,Nagpur,Nagpur,19,270912,Kuhi,270912
2730,Solapur,Pune,32,273011,Solapur South,273011
2707,Amravati,Amravati,3,270714,Warud,270714
2730,Solapur,Pune,32,273001,Akkalkot,273001
2720,Nashik,Nashik,22,272006,Kalwan,272006
2734,Kolhapur,Pune,15,273411,Gadhinglaj,273411
2705,Akola,Amravati,2,270502,Akot,270502
2717,Parbhani,Aurangabad,25,271704,Palam,271704
2703,Jalgaon,Nashik,13,270302,Bhadgaon,270302
2712,Gadchiroli,Nagpur,10,271204,Dhanora,271204
2735,Sangli,Pune,29,273504,Khanapur,273504
2704,Buldana,Amravati,7,270403,Khamgaon,270403
2717,Parbhani,Aurangabad,25,271701,Gangakhed,271701
2719,Aurangabad,Aurangabad,4,271903,Kannad,271903
2726,Ahmednagar,Nashik,1,272607,Parner,272607
